
2012-05-12 04:42:43 013 91.33 2 1 2 

2012-05-12 04:50:30 013 90.78 2 1 2 

2012-05-12 05:14:35 013 91.68 2 1 2 

2012-05-12 09:11:12 013 87.09 2 1 2 

2012-05-12 09:15:32 013 89.07 2 1 2 

2012-05-12 09:25:42 013 93.21 2 1 2 

2012-05-12 09:39:11 013 205.41 2 2 1 

2012-05-12 16:04:01 013 204.68 2 2 1 

2012-05-13 18:26:18 013 115.33 2 1 1 

2012-05-13 18:30:08 013 86.44 2 1 1 

2012-05-13 10:17:55 013 90.53 2 1 1 

2012-05-13 10:38:04 013 83.18 2 1 1 

2012-05-13 10:41:52 013 207.59 2 2 1 

2012-05-13 11:17:45 013 207.00 2 2 1 

2012-05-13 11:19:48 013 87.76 2 1 1 

2012-05-13 13:46:44 013 93.26 2 1 1 

2012-05-13 15:10:03 013 81.47 2 1 1 

2012-05-13 15:21:30 013 83.98 2 1 1 

2012-05-13 15:24:17 013 206.97 2 2 1 

2012-05-13 15:44:50 013 207.26 2 2 1 

2012-05-13 15:46:24 013 90.07 2 1 1 

2012-05-13 15:58:34 013 82.35 2 1 1 

2012-05-13 16:18:04 013 81.90 2 1 1 


2012-05-13 16:49:42 013 200.82 2 2 1 

2012-05-13 16:51:37 013 85.56 2 1 1 

